SurvID_1,x2_1,x2_2,x2_3,x2_4,x2_5,x2_6,x2_7,x2_8,x2_9,x2_10,x2_11,x2_12,x2_13,x2_14,x2_15,x2_16,x2_17,x2_18,x2_19,x2_20,x2_21,x2_22,gender,race,instate,college
1001,3,3,2,1,2,3,0,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,Female,White:U.S.,N,UGST
1002,4,4,4,3,3,2,4,4,4,2,4,3,1,4,1,4,2,3,4,4,4,4,Male,Two or More:U.S.,Y,CMNS
1003,4,4,4,4,4,4,4,4,2,2,1,3,1,4,2,4,3,4,4,4,3,4,Male,White:U.S.,Y,EXST
1004,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,2,2,2,3,3,3,Female,White:U.S.,N,EDUC
1005,3,3,3,2,3,4,4,3,2,3,4,4,4,4,4,4,3,4,4,4,4,4,Female,Foreign,Y,AGNR
1006,3,3,3,2,2,4,3,3,4,4,3,3,1,4,3,3,2,3,2,3,3,3,Female,White:U.S.,N,BSOS
1007,3,4,3,4,4,4,4,4,4,2,2,3,1,4,2,4,3,1,3,4,4,4,Female,Hispanic:U.S.,N,UGST
1008,4,4,4,4,4,4,4,2,4,3,2,4,4,4,3,2,4,4,4,4,3,3,Male,White:U.S.,Y,ENGR
1009,4,3,3,1,2,3,3,3,3,2,4,4,4,4,2,2,3,4,4,4,4,4,Female,White:U.S.,N,CMNS
1010,3,4,3,4,4,2,3,1,4,3,4,4,0,4,4,1,1,4,4,4,3,4,Male,Unknown:U.S.,N,ENGR
1011,2,3,2,1,1,1,3,3,3,3,1,3,1,3,3,3,0,3,3,3,2,3,Male,White:U.S.,N,UGST
1012,3,3,3,2,3,3,3,3,3,3,2,2,0,3,3,3,1,4,4,3,3,2,Male,Asian:U.S.,Y,CMNS
1013,2,3,4,3,2,3,2,2,3,3,2,3,1,3,3,4,2,3,3,1,3,3,Male,Asian:U.S.,Y,CMNS
1014,4,4,3,2,4,4,4,4,4,1,4,4,4,4,3,3,1,4,4,3,4,4,Female,Black or African American:U.S.,Y,BSOS
1015,3,2,3,2,1,3,4,4,1,3,3,3,3,4,4,2,2,3,4,3,4,3,Female,White:U.S.,Y,CMNS
1016,2,3,3,4,2,3,4,0,3,3,4,4,3,4,3,4,1,4,4,4,4,4,Male,Asian:U.S.,Y,CMNS
1017,2,4,4,2,3,4,4,4,4,4,4,2,0,4,4,4,2,4,4,4,3,4,Male,Two or More:U.S.,Y,BMGT
1018,4,3,3,3,3,3,4,4,4,3,3,3,4,4,4,1,3,4,1,2,2,3,Female,Asian:U.S.,Y,BSOS
1019,1,2,2,0,2,2,3,1,1,1,1,2,1,3,1,2,3,1,3,2,2,3,Male,Hispanic:U.S.,Y,UGST
1020,3,3,4,2,2,3,3,3,3,2,4,3,3,4,3,3,3,3,2,3,3,3,Male,White:U.S.,Y,UGST
1021,3,2,2,1,3,3,3,0,3,3,3,3,1,3,3,2,2,4,3,2,3,4,Male,Foreign,N,CMNS
1022,4,1,3,4,2,3,1,1,3,3,4,4,3,4,4,3,2,4,4,3,2,4,Male,Two or More:U.S.,Y,CMNS
1023,3,3,3,2,2,3,3,3,3,3,3,3,1,4,4,2,2,3,3,3,3,3,Male,Asian:U.S.,Y,EXST
1024,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Female,Hispanic:U.S.,Y,SPHL
1025,4,3,3,2,4,4,4,4,3,1,4,3,0,4,4,1,4,3,1,3,4,4,Female,Two or More:U.S.,N,BSOS
1026,2,3,3,1,1,2,0,0,1,2,3,2,1,4,2,3,3,1,3,3,1,3,Female,Asian:U.S.,Y,EXST
1027,3,3,3,2,3,4,4,4,4,4,2,3,1,4,4,2,2,0,0,3,4,4,Female,Black or African American:U.S.,Y,EXST
1028,3,3,3,3,3,2,3,1,3,3,2,4,2,3,3,1,1,3,3,2,2,3,Male,Asian:U.S.,Y,EXST
1029,4,3,3,3,2,4,4,4,4,4,3,1, ,4,4,4,3,4,3,3,4,4,Male,Black or African American:U.S.,Y,BSOS
1030,4,4,2,4,3,4,4,0,4,4,3,2,4,4,4,0,3,4,4,4,4,4,Female,Black or African American:U.S.,Y,EXST
1031,2,2,3,3,2,3,1,1,3,4,4,1,3,3,0,3,1,3,3,2,3,3,Male,Asian:U.S.,Y,UGST
1032,3,3,2,3,4,4,4,4,1,3,2,3,3,4,4,0,1,3,4,2,4,4,Male,Black or African American:U.S.,Y,ENGR
1033,2,4,3,2,1,3,2,2,4,4,4,4,0,4,4,1,1,4,4,2,4,2,Male,Asian:U.S.,Y,ENGR
1034,3,3,4,4,3,4,0,0,4,4,4,3,2,4,2,1,1,3,4,2,3,3,Female,Asian:U.S.,Y,EXST
1035,4,2,3,3,1,4,4,1,4,4,0,4,0,4,4,1,2,4,1,2,3,4,Male,White:U.S.,Y,BMGT
1036,3,3,2,4,2,4,4,2,3,2,1,3,0,4,4,3,2,4,4,4,1,3,Female,Two or More:U.S.,Y,ARHU
1037,3,4,3,4,2,4,4,0,4,4,3,4,0,4,4,2,3,3,3,3,1,2,Male,Foreign,N,UGST
1038,3,4,3,3,3,4,1,1,4,4,1,2,1,3,2,4,1,4,4,1,3,4,Male,Black or African American:U.S.,Y,BSOS
1039,3,3,4,3,3,3,4,2,3,1,4,3,0,4,2,1,3,4,4,4,1,4,Female,Hispanic:U.S.,Y,BSOS
1040,4,4,1,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,1,4,Female,White:U.S.,Y,ARCH
1041,4,4,3,3,4,4,4,4,4,3,3,2,3,4,3,3,3,4,2,2,4,4,Female,Black or African American:U.S.,Y,BSOS
1042,2,2,2,2,2,3,3,2,3,2,3,2,2,4,2,2,2,3,3,2,2,4,Female,White:U.S.,Y,JOUR
1043,3,3,3,3,3,3,2,2,2,2,4,3,3,4,3,3,3,4,4,4,4,4,Female,Asian:U.S.,Y,CMNS
1044,3,3,2,2,2,3,3,1,3,2,4,2,3,4,2,3,2,4,4,3,3,3,Female,Asian:U.S.,Y,CMNS
1045,3,3,2,2,3,3,3,3,3,3,4,3,1,4,2,1,2,3,3,3,4,3,Male,White:U.S.,Y,CMNS
1046,3,3,3,1,2,2,0,0,4,2,1,3,0,4,3,2,2,1,1,3,2,2,Female,White:U.S.,Y,UGST
1047,3,3,3,3,3,3,1,1,3,3,3,2,3,3,3,3,2,3,2,2,3,3,Female,White:U.S.,Y,SPHL
1048,2,3,3,3,3,3,2,2,4,1,4,4,0,4,3,1,2,1,3,2,2,0,Female,Two or More:U.S.,Y,UGST
1049,3,2,3,2,2,4,4,0,3,1,3,4,0,4,4,2,1,4,3,3,3,4,Male,White:U.S.,N,ENGR
1050,3,4,4,1,2,3,1,1,4,4,3,4,3,4,4,3,3,4,4,4,2,4,Female,Two or More:U.S.,Y,ARHU
1051,2,3,3,2,2,4,1,1,4,4,1,3,1,4,1,3,2,4,4,4,4,4,Male,White:U.S.,N,BSOS
1052,3,2,2,3,3,3,3,1,3,1,4,3,4,4,1,3,1,4,4,2,1,3,Female,White:U.S.,Y,AGNR
1053,2,2,2,3,4,4,4,4,4,4,3,4,3,4,2,3,2,3,2,3,3,2,Female,Black or African American:U.S.,Y,BSOS
1054,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Male,Hispanic:U.S.,N,ENGR
1055,3,1,3,3,3,3,3,3,3,3,4,3,1,3,3,1,1,3,3,3,3,3,Female,White:U.S.,N,UGST
1056,3,3,4,2,3,3,4,4,4,4,2,4,0,4,3,2,4,1,3,4,2,4,Male,White:U.S.,N,UGST
1057,3,3,3,3,3,3,3,3,3,2,2,2,4,4,2,3,3,1,3,3,1,2,Male,Black or African American:U.S.,Y,UGST
1058,3,4,4,2,2,3,3,0,4,4,4,2,3,4,3,2,3,4,4,2,4,3,Female,Black or African American:U.S.,Y,BSOS
1059, ,4,4,4,3,4,4,0,4,3,1,4,2,4,4,2,3,4,4,4,4,4,Female,White:U.S.,Y,BMGT
1060,2,2,2,2,2,3,2,2,2,2,3,2,4,3,1,2,2,0,0,1,1,2,Male,Black or African American:U.S.,Y,SPHL
1061,3,2,2,4,4,4,4,2,4,4,2,2,1,4,0,3,1,2,2,3,3,4,Male,Asian:U.S.,Y,UGST
1062,4,4,4,4,4,4,4,4,4,3,3,2,3,3,1,3,2,4,3,3,3,4,Male,White:U.S.,Y,ARHU
1063,4,4,4,4,3,4,4,3,4,4,1,3,1,4,4,4,3,4,0,4,4,4,Male,Black or African American:U.S.,Y,UGST
1064,2,3,2,0,1,2,1,1,1,2,3,3,4,4,1,1,1,4,4,3,3,2,Male,White:U.S.,Y,AGNR
1065,1,2,3,3,3,3,3,1,3,3,0,3,4,4,3,2,3,4,4,4,3,3,Female,White:U.S.,N,BSOS
1066,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,1,3,4,4,4,4,4,Male,White:U.S.,N,BMGT
1067,4,4,1,2,4,4,4,3,4,4,0,1,4,4,4,2,0,4,4,2,4,4,Female,Black or African American:U.S.,Y,SPHL
1068,2,3,2,3,2,4,3,3,4,3,2,3,2,4,2,2,2,2,2,3,3,4,Male,Asian:U.S.,Y,UGST
1069,3,3,4,2,3,4,3,1,4,4,3,3,4,4,3,3,2,4,2,2,4,4,Male,Hispanic:U.S.,N,ARHU
1070,3,3,4,2,2,3,3,3,3,3,1,2,2,4,2,1,2,4,3,3,3,3,Male,Hispanic:U.S.,N,ARCH
1071,3,2,3,3,3,3,3,3,3,1,2,2,1,2,2,2,2,3,2,3,3,3,Male,White:U.S.,N,BSOS
1072,4,4,3,1,1,3,3,1,3,2,1,2,1,4,3,4,3,3,4,3,2,3,Male,White:U.S.,N,UGST
1073,4,3,3,3,2,3,3,3,3,1,1,2,4,4,3,2,1,3,3,1,3,3,Female,Asian:U.S.,Y,CMNS
1074,3,4,4,3,2,4,4,1,2,3,4,3,1,3,3,1,3,4,3,2,2,3,Male,Asian:U.S.,Y,CMNS
1075,4,3,3,2,2,4,3,3,1,1,3,2,4,4,3,3,3,4,4,3,3,3,Female,White:U.S.,Y,EXST
1076,2,1,3,3,2,3,3,3,3,3,2,2,1,4,2,3,2,3,2,2,1,3,Female,Foreign,N,BSOS
1077,3,4,4,3,3,4,4,0,4,3,2,4,0,4,4,3,4,2,3,4,4,4,Male,White:U.S.,Y,BMGT
1078,4,4,3,2,1,3,4,3,3,4,2,3,1,4,4,4,1,4,4,1,3,4,Male,Asian:U.S.,Y,SPHL
1079,4,3,3,2,2,3,4,0,1,3,3,2,4,4,3,1,3,2,3,2,2,3,Female,Black or African American:U.S.,Y,ARHU
1080,4,4,4,4,4,4,2,2,4,4,4,1,2,4,4,4,2,2,4,3,4,4,Male,White:U.S.,Y,UGST
1081,3,2,2,3,2,3,1,1,1,3,3,3,0,4,3,2,3,3,3,3,2,3,Male,White:U.S.,Y,CMNS
1082,3,3,3,4,4,4,4,1,3,2,4,3,2,4,4,1,2,4,3,4,4,4,Male,Hispanic:U.S.,Y,ENGR
1083,3,2,2,3,2,4,4,4,4,4,3,2,4,4,4,1,1,4,3,2,2,2,Female,Black or African American:U.S.,Y,CMNS
1084,3,3,3,2,2,2,1,1,3,1,2,3,2,3,3,3,3,3,3,3,2,3,Male,White:U.S.,Y,UGST
